sector_id|Zip|submarket_id|market_id|Sector|Latitude|Longitude|Median Age|Distance to Airport|Distance to Railroad|Airport Volume|Area (Square Miles)|Distance to CBD|Cost of Living Index|Mean Commute Time|Crime Rate (Quintile)|Civilian Employment Growth|grade_id|Grade|Homeownership Rate|Housing Affordability|Housing Affordability (Quintile)|Distance to Interstate|Miles of Interstate|% Office|Population Density|Distance to Railroad|Median Gross Rent|Distance to Seaport|Seaport TEUs|Walk Score Description|Rank - Median Age|Rank - Distance to Airport|Rank - Distance to Railroad|Rank - Airport Volume|Rank - Area (Square Miles)|Rank - Distance to CBD|Rank - Cost of Living Index|Rank - Mean Commute Time|Rank - Crime Rate|Rank - Civilian Employment Growth|Rank - grade_id|Rank - Homeownership Rate|Rank - Housing Affordability|Rank - Distance to Interstate|Rank - Miles of Interstate|Rank - % Office|Rank - Population Density|Rank - Distance to Railroad|Rank - Median Gross Rent|Rank - School Rating|Rank - Distance to Seaport|Rank - Seaport TEUs|Rank - Walk Score
1|1451|1542|154|Apartment|42.5019084|-71.5682014|45.3582138|30.52379854|18.86275402|969229|19.13177413|27.76258569||24.87239114|Very Safe|-0.10944735|11|A+|0.93664604|65.74583006|Very Expensive|1.61757039|0.4999998|0.34042553|243.49613156|7.2017095|1419.77655172|30.47060815|270881||4510|4961|4788|5057|4362|4780||3406|118|4592|250|33|676|2303|2194|887|4956|4443|2438|196|1853|4385|4885
1|1460|1542|154|Apartment|42.5359311|-71.4905688|42.87147473|27.5637865|19.99801091|969229|16.52283261|25.14138306||24.87239114|Very Safe|-0.10944735|10|A|0.81386621|56.02134366|Expensive|0.29653938|3.37663008|0.21895425|605.64612392|12.43223531|1492.52907689|27.81704139|270881||3946|4802|4882|5062|4178|4580||3416|615|4648|815|545|1396|372|785|2766|4579|4887|2104|1046|1712|4442|4309
1|1467|1542|154|Apartment|42.489646|-71.6095774|56.94985204|31.86773645|18.55846798|969229|1.8952974|29.48058984||24.87239114|Very Safe|-0.10944735|10|A|0.7181392|60.85584208|Very Expensive|2.98361606|0|0.75|192.91448238|5.24919951|1538.68588784|32.18796734|270881||5212|5025|4769|5063|870|4872||3417|273|4650|819|1326|976|3421|2892|22|5018|4052|1936|1747|1938|4444|3580
1|1503|1542|154|Apartment|42.384929|-71.6338895|48.55488579|39.17295538|20.03423922|969229|12.97237196|29.40309245||24.87239114|Very Safe|-0.10944735|9|A-|0.77377823|58.06430667|Very Expensive|1.47498507|1.69356514|0.15789474|244.11739019|0.89552306|1213.64439709|32.01427322|270881||4919|5232|4884|5066|3801|4868||3424|485|4678|1095|857|1207|2130|1553|4073|4954|1377|3486|1059|1934|4472|5068
1|1510|1542|154|Apartment|42.4118873|-71.6900054|37.76718026|38.241791|19.4077563|969229|5.65483754|32.4088767||24.87239114|Safe|-0.10944735|8|B+|0.49225442|43.89403986|Neutral|4.40389042|0|0.17213115|2475.70558438|0.57372159|1261.04376954|35.05248669|270881||2372|5216|4825|5067|2242|5007||3430|2338|4732|2049|3371|3199|4014|3653|3777|3123|921|3242|4809|2042|4526|1060
1|1561|1542|154|Apartment|42.4439704|-71.6855834|60.00272666|36.08219774|18.7757138|969229|0.12327309|32.4978398||24.87239114|Safe|-0.10944735|9|A-|0.39814815|55.110721|Expensive|2.83781245|0|0.31034483|2402.23019704|1.46922987|1538.68588784|35.17455997|270881||5240|5165|4779|5065|126|5011||3423|2139|4675|1078|4022|1491|3332|3042|1226|3176|2053|1937|1749|2048|4469|3581
1|1581|1542|154|Apartment|42.2684262|-71.6133087|37.71669342|38.80073361|19.54265964|1940806|20.58443901|29.02786055||24.87239114|Very Safe|-0.10944735|10|A|0.5623974|53.97835993|Expensive|2.03251955|5.2041378|0.32484076|928.83486159|0.28458567|1791.25535447|31.35647764|270881||2356|5225|4831|4820|4437|4854||3411|1108|4628|640|2804|1612|2720|372|1056|4297|415|1155|615|1900|4422|3697
1|1701|1542|154|Apartment|42.3195867|-71.4428004|47.92981994|22.48818267|11.36039532|18759742|16.95877473|19.80711779||24.87239114|Very Safe|-0.10944735|10|A|0.75992477|51.71379797|Expensive|0.82090228|5.36200052|0.3163698|1934.45602265|0.23260797|1614.88559649|22.24229264|270881||4863|4376|3700|1728|4219|4019||3421|850|4672|1059|975|1916|1247|343|1155|3536|322|1632|3140|1413|4466|3395
1|1702|1542|154|Apartment|42.2823786|-71.4366209|36.0597289|22.67289238|11.5858394|18759742|8.09176161|20.03153314||24.87239114|Safe|-0.10944735|8|B+|0.33089054|47.95336456|Expensive|1.64049258|0.83694651|0.17139614|4873.1880139|0.49878643|1467.17592418|22.30300749|270881||1762|4399|3752|1788|2931|4038||3432|3677|4741|2359|4423|2472|2328|2022|3795|1670|781|2218|4778|1419|4535|1712
1|1718|1542|154|Apartment|42.5198155|-71.4292828|40.62181114|28.53838964|19.68670763|969229|0.04686018|21.87628476||24.87239114|Very Safe|-0.10944735|10|A|0.16126185|45.75484723|Neutral|2.75053917|0|0.75|17475.20048493|10.83502562|1538.68588784|24.54223082|270881||3310|4852|4850|5061|86|4274||3414|405|4642|752|5066|2860|3266|2858|21|301|4802|1935|1746|1542|4436|3579
